player,team,position,date,round,home_away,opponent,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,yellow_cards,red_cards,touches,tackles,interceptions,blocks,xg,npxg,xag,sca,gca,passes_completed,carries,progressive_carries,goals_conceded,clean_sheet,own_goals,ball_recoveries,penalties_won,fouls,fouled,saves,penalties_saved,season,fantasy_position,fantasy_points,matchday
Mislav Oršić,Dinamo Zagreb hr,FW,2022-09-06,Group stage,home,eng Chelsea,76,1,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,6,1
Dario Špikić,Dinamo Zagreb hr,MF,2022-09-06,Group stage,home,eng Chelsea,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,MID,1,1
Bruno Petković,Dinamo Zagreb hr,FW,2022-09-06,Group stage,home,eng Chelsea,89,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,5,1
Josip Drmić,Dinamo Zagreb hr,FW,2022-09-06,Group stage,home,eng Chelsea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,FWD,1,1
Robert Ljubicic,Dinamo Zagreb hr,LW,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,2,1
Stefan Ristovski,Dinamo Zagreb hr,RW,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,2,1
Luka Ivanušec,Dinamo Zagreb hr,MF,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,3,1
Arijan Ademi,Dinamo Zagreb hr,MF,2022-09-06,Group stage,home,eng Chelsea,87,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,3,1
Martin Baturina,Dinamo Zagreb hr,MF,2022-09-06,Group stage,home,eng Chelsea,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,MID,0,1
Josip Mišić,Dinamo Zagreb hr,MF,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,3,1
Dino Perić,Dinamo Zagreb hr,CB,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,1
Josip Šutalo,Dinamo Zagreb hr,CB,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,1
Sadegh Moharrami,Dinamo Zagreb hr,CB,2022-09-06,Group stage,home,eng Chelsea,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,1
Rasmus Lauritsen,Dinamo Zagreb hr,DF,2022-09-06,Group stage,home,eng Chelsea,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,DEF,1,1
Dominik Livaković,Dinamo Zagreb hr,GK,2022-09-06,Group stage,home,eng Chelsea,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2022-2023,GK,9,1
Pierre-Emerick Aubameyang,eng Chelsea,FW,2022-09-06,Group stage,away,Dinamo Zagreb hr,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,FWD,1,1
Armando Broja,eng Chelsea,FW,2022-09-06,Group stage,away,Dinamo Zagreb hr,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,FWD,1,1
Raheem Sterling,eng Chelsea,FW,2022-09-06,Group stage,away,Dinamo Zagreb hr,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,FWD,2,1
Christian Pulisic,eng Chelsea,"FW,MF",2022-09-06,Group stage,away,Dinamo Zagreb hr,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,FWD,1,1
Kai Havertz,eng Chelsea,FW,2022-09-06,Group stage,away,Dinamo Zagreb hr,90,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,FWD,2,1
Ben Chilwell,eng Chelsea,LM,2022-09-06,Group stage,away,Dinamo Zagreb hr,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,MID,2,1
Marc Cucurella,eng Chelsea,"DF,MF",2022-09-06,Group stage,away,Dinamo Zagreb hr,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,DEF,1,1
Mateo Kovačić,eng Chelsea,CM,2022-09-06,Group stage,away,Dinamo Zagreb hr,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,MID,1,1
Jorginho,eng Chelsea,MF,2022-09-06,Group stage,away,Dinamo Zagreb hr,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,MID,1,1
Mason Mount,eng Chelsea,CM,2022-09-06,Group stage,away,Dinamo Zagreb hr,90,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,MID,1,1
Reece James,eng Chelsea,RM,2022-09-06,Group stage,away,Dinamo Zagreb hr,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,MID,2,1
Wesley Fofana,eng Chelsea,CB,2022-09-06,Group stage,away,Dinamo Zagreb hr,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,DEF,2,1
Kalidou Koulibaly,eng Chelsea,CB,2022-09-06,Group stage,away,Dinamo Zagreb hr,90,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,DEF,1,1
César Azpilicueta,eng Chelsea,CB,2022-09-06,Group stage,away,Dinamo Zagreb hr,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,DEF,1,1
Hakim Ziyech,eng Chelsea,"FW,MF",2022-09-06,Group stage,away,Dinamo Zagreb hr,45,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022-2023,FWD,1,1
Kepa Arrizabalaga,eng Chelsea,GK,2022-09-06,Group stage,away,Dinamo Zagreb hr,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2022-2023,GK,4,1
Steven Bergwijn,Ajax nl,FW,2022-09-07,Group stage,home,sct Rangers,80,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,6,2
Lucas Ocampos,Ajax nl,"FW,MF",2022-09-07,Group stage,home,sct Rangers,10,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,FWD,1,2
Mohammed Kudus,Ajax nl,FW,2022-09-07,Group stage,home,sct Rangers,87,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,9,2
Brian Brobbey,Ajax nl,FW,2022-09-07,Group stage,home,sct Rangers,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,FWD,1,2
Dušan Tadić,Ajax nl,FW,2022-09-07,Group stage,home,sct Rangers,90,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,2,2
Kenneth Taylor,Ajax nl,CM,2022-09-07,Group stage,home,sct Rangers,90,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,3,2
Edson Álvarez,Ajax nl,CM,2022-09-07,Group stage,home,sct Rangers,87,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,8,2
Jorge Eduardo Sánchez,Ajax nl,"DF,MF",2022-09-07,Group stage,home,sct Rangers,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,DEF,1,2
Steven Berghuis,Ajax nl,CM,2022-09-07,Group stage,home,sct Rangers,80,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,11,2
Davy Klaassen,Ajax nl,MF,2022-09-07,Group stage,home,sct Rangers,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,MID,1,2
Daley Blind,Ajax nl,LB,2022-09-07,Group stage,home,sct Rangers,80,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,2
Youri Baas,Ajax nl,DF,2022-09-07,Group stage,home,sct Rangers,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,DEF,1,2
Calvin Bassey,Ajax nl,CB,2022-09-07,Group stage,home,sct Rangers,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,2
Jurriën Timber,Ajax nl,CB,2022-09-07,Group stage,home,sct Rangers,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,2
Devyne Rensch,Ajax nl,RB,2022-09-07,Group stage,home,sct Rangers,90,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,2
Remko Pasveer,Ajax nl,GK,2022-09-07,Group stage,home,sct Rangers,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2022-2023,GK,7,2
Antonio Čolak,sct Rangers,FW,2022-09-07,Group stage,away,Ajax nl,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,FWD,2,2
Ryan Kent,sct Rangers,AM,2022-09-07,Group stage,away,Ajax nl,90,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,MID,2,2
Glen Kamara,sct Rangers,AM,2022-09-07,Group stage,away,Ajax nl,77,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,MID,2,2
Steven Davis,sct Rangers,MF,2022-09-07,Group stage,away,Ajax nl,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,MID,1,2
Malik Tillman,sct Rangers,AM,2022-09-07,Group stage,away,Ajax nl,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,MID,1,2
Ryan Jack,sct Rangers,"DF,MF",2022-09-07,Group stage,away,Ajax nl,45,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,DEF,-2,2
John Lundstram,sct Rangers,DM,2022-09-07,Group stage,away,Ajax nl,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,MID,2,2
Scott Wright,sct Rangers,DM,2022-09-07,Group stage,away,Ajax nl,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,MID,1,2
Rabbi Matondo,sct Rangers,"FW,MF",2022-09-07,Group stage,away,Ajax nl,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,FWD,1,2
Borna Barišić,sct Rangers,LB,2022-09-07,Group stage,away,Ajax nl,90,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,DEF,0,2
James Sands,sct Rangers,CB,2022-09-07,Group stage,away,Ajax nl,90,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,DEF,0,2
Connor Goldson,sct Rangers,CB,2022-09-07,Group stage,away,Ajax nl,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,DEF,0,2
James Tavernier,sct Rangers,RB,2022-09-07,Group stage,away,Ajax nl,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,DEF,-1,2
Leon King,sct Rangers,DF,2022-09-07,Group stage,away,Ajax nl,45,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2022-2023,DEF,-1,2
Jon McLaughlin,sct Rangers,GK,2022-09-07,Group stage,away,Ajax nl,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,2022-2023,GK,5,2
Randal Kolo Muani,Eintracht Frankfurt de,FW,2022-09-07,Group stage,home,pt Sporting CP,90,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,FWD,2,2
Daichi Kamada,Eintracht Frankfurt de,AM,2022-09-07,Group stage,home,pt Sporting CP,82,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,MID,2,2
Makoto Hasebe,Eintracht Frankfurt de,"DF,MF",2022-09-07,Group stage,home,pt Sporting CP,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,DEF,0,2
Mario Götze,Eintracht Frankfurt de,AM,2022-09-07,Group stage,home,pt Sporting CP,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,MID,2,2
Jesper Lindstrøm,Eintracht Frankfurt de,AM,2022-09-07,Group stage,home,pt Sporting CP,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,MID,2,2
Lucas Alario,Eintracht Frankfurt de,FW,2022-09-07,Group stage,home,pt Sporting CP,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,FWD,1,2
Djibril Sow,Eintracht Frankfurt de,DM,2022-09-07,Group stage,home,pt Sporting CP,90,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,MID,2,2
Junior Dina Ebimbe,Eintracht Frankfurt de,DM,2022-09-07,Group stage,home,pt Sporting CP,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,MID,2,2
Rafael Borré,Eintracht Frankfurt de,FW,2022-09-07,Group stage,home,pt Sporting CP,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,FWD,1,2
Christopher Lenz,Eintracht Frankfurt de,LB,2022-09-07,Group stage,home,pt Sporting CP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,DEF,0,2
Luca Pellegrini,Eintracht Frankfurt de,DF,2022-09-07,Group stage,home,pt Sporting CP,45,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,DEF,0,2
Obite N'Dicka,Eintracht Frankfurt de,CB,2022-09-07,Group stage,home,pt Sporting CP,90,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,DEF,0,2
Tuta,Eintracht Frankfurt de,CB,2022-09-07,Group stage,home,pt Sporting CP,90,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,DEF,1,2
Kristijan Jakić,Eintracht Frankfurt de,RB,2022-09-07,Group stage,home,pt Sporting CP,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,DEF,0,2
Ansgar Knauff,Eintracht Frankfurt de,MF,2022-09-07,Group stage,home,pt Sporting CP,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2022-2023,MID,1,2
Kevin Trapp,Eintracht Frankfurt de,GK,2022-09-07,Group stage,home,pt Sporting CP,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2022-2023,GK,3,2
Marcus Edwards,pt Sporting CP,FW,2022-09-07,Group stage,away,Eintracht Frankfurt de,72,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,9,2
Rochinha,pt Sporting CP,"FW,MF",2022-09-07,Group stage,away,Eintracht Frankfurt de,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,FWD,1,2
Pedro Gonçalves,pt Sporting CP,AM,2022-09-07,Group stage,away,Eintracht Frankfurt de,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,3,2
Nuno Santos,pt Sporting CP,MF,2022-09-07,Group stage,away,Eintracht Frankfurt de,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,MID,6,2
Francisco Trincão,pt Sporting CP,AM,2022-09-07,Group stage,away,Eintracht Frankfurt de,78,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,8,2
Paulinho,pt Sporting CP,FW,2022-09-07,Group stage,away,Eintracht Frankfurt de,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,FWD,1,2
Matheus Reis,pt Sporting CP,DM,2022-09-07,Group stage,away,Eintracht Frankfurt de,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,3,2
Manuel Ugarte,pt Sporting CP,DM,2022-09-07,Group stage,away,Eintracht Frankfurt de,90,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,3,2
Hidemasa Morita,pt Sporting CP,DM,2022-09-07,Group stage,away,Eintracht Frankfurt de,90,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,5,2
Pedro Porro,pt Sporting CP,DM,2022-09-07,Group stage,away,Eintracht Frankfurt de,90,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,6,2
Gonçalo Inácio,pt Sporting CP,CB,2022-09-07,Group stage,away,Eintracht Frankfurt de,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,2
Jerry St. Juste,pt Sporting CP,CB,2022-09-07,Group stage,away,Eintracht Frankfurt de,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,DEF,1,2
Luís Neto,pt Sporting CP,DF,2022-09-07,Group stage,away,Eintracht Frankfurt de,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,DEF,1,2
Sebastián Coates,pt Sporting CP,CB,2022-09-07,Group stage,away,Eintracht Frankfurt de,90,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,2
Antonio Adán,pt Sporting CP,GK,2022-09-07,Group stage,away,Eintracht Frankfurt de,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2022-2023,GK,8,2
Harry Kane,Tottenham Hotspur eng,FW,2022-09-07,Group stage,home,fr Marseille,90,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,FWD,2,2
Richarlison,Tottenham Hotspur eng,AM,2022-09-07,Group stage,home,fr Marseille,90,2,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,13,2
Son Heung-min,Tottenham Hotspur eng,AM,2022-09-07,Group stage,home,fr Marseille,84,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,2,2
Matt Doherty,Tottenham Hotspur eng,"DF,MF",2022-09-07,Group stage,home,fr Marseille,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,DEF,1,2
Ivan Perišić,Tottenham Hotspur eng,DM,2022-09-07,Group stage,home,fr Marseille,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,6,2
Rodrigo Bentancur,Tottenham Hotspur eng,DM,2022-09-07,Group stage,home,fr Marseille,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,3,2
Yves Bissouma,Tottenham Hotspur eng,MF,2022-09-07,Group stage,home,fr Marseille,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,MID,1,2
Pierre Højbjerg,Tottenham Hotspur eng,DM,2022-09-07,Group stage,home,fr Marseille,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,6,2
Emerson,Tottenham Hotspur eng,DM,2022-09-07,Group stage,home,fr Marseille,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,MID,3,2
Dejan Kulusevski,Tottenham Hotspur eng,"FW,MF",2022-09-07,Group stage,home,fr Marseille,30,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,FWD,1,2
Clément Lenglet,Tottenham Hotspur eng,CB,2022-09-07,Group stage,home,fr Marseille,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,2
Ben Davies,Tottenham Hotspur eng,"DF,MF",2022-09-07,Group stage,home,fr Marseille,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,DEF,1,2
Cristian Romero,Tottenham Hotspur eng,CB,2022-09-07,Group stage,home,fr Marseille,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,6,2
Japhet Tanganga,Tottenham Hotspur eng,DF,2022-09-07,Group stage,home,fr Marseille,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-2023,DEF,1,2
Eric Dier,Tottenham Hotspur eng,CB,2022-09-07,Group stage,home,fr Marseille,90,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-2023,DEF,5,2
Hugo Lloris,Tottenham Hotspur eng,GK,2022-09-07,Group stage,home,fr Marseille,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2022-2023,GK,7,2
Luis Javier Suárez,fr Marseille,FW,2022-09-07,Group stage,away,Tottenham Hotspur eng,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2022-2023,FWD,2,2
Amine Harit,fr Marseille,"FW,MF",2022-09-07,Group stage,away,Tottenham Hotspur eng,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2022-2023,FWD,1,2
Nuno Tavares,fr Marseille,LW,2022-09-07,Group stage,away,Tottenham Hotspur eng,90,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2022-2023,FWD,2,2
Mattéo Guendouzi,fr Marseille,AM,2022-09-07,Group stage,away,Tottenham Hotspur eng,90,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2022-2023,MID,2,2
Gerson,fr Marseille,AM,2022-09-07,Group stage,away,Tottenham Hotspur eng,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2022-2023,MID,1,2
Leonardo Balerdi,fr Marseille,DF,2022-09-07,Group stage,away,Tottenham Hotspur eng,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2022-2023,DEF,0,2
Jonathan Clauss,fr Marseille,RW,2022-09-07,Group stage,away,Tottenham Hotspur eng,69,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2022-2023,FWD,1,2
